x,y,z,results4,results5
-0.758629393,3480.877072,13814.44175,1913.153401,1915.421158
-0.758629393,3480.877072,13814.44175,1913.153401,1915.421158
0.732388523,3480.511348,13813.69818,1915.158556,1912.339152
0.658657001,3480.143929,13812.76729,1914.820766,1911.361432
0.658657001,3480.143929,13812.76729,1914.820766,1911.361432
0.658657001,3480.143929,13812.76729,1914.820766,1911.361432
0.658657001,3480.143929,13812.76729,1914.820766,1911.361432
0.658657001,3480.143929,13812.76729,1914.820766,1911.361432
0.658657001,3480.143929,13812.76729,1914.820766,1911.361432
0.658657001,3480.143929,13812.76729,1914.820766,1911.361432
0.659979368,3480.682871,13813.03321,1914.622572,1911.911775
0.549793659,3481.087258,13812.48072,1914.076108,1911.722205
0.549793659,3481.087258,13812.48072,1914.076108,1911.722205
0.549793659,3481.087258,13812.48072,1914.076108,1911.722205
0.549793659,3481.087258,13812.48072,1914.076108,1911.722205
0.549793659,3481.087258,13812.48072,1914.076108,1911.722205
0.549793659,3481.087258,13812.48072,1914.076108,1911.722205
0.549793659,3481.087258,13812.48072,1914.076108,1911.722205
0.506801376,3481.105784,13812.10941,1913.891399,1911.402244
0.507012724,3481.22309,13812.24424,1913.915045,1911.573847
0.507012724,3481.22309,13812.24424,1913.915045,1911.573847
0.507012724,3481.22309,13812.24424,1913.915045,1911.573847
0.507012724,3481.22309,13812.24424,1913.915045,1911.573847
0.507012724,3481.22309,13812.24424,1913.915045,1911.573847
0.507012724,3481.22309,13812.24424,1913.915045,1911.573847
0.507012724,3481.22309,13812.24424,1913.915045,1911.573847
-0.685252376,3481.257265,13814.73221,1913.427236,1915.4643
0.767559655,3480.806518,13814.08862,1915.375226,1912.674548
0.767559655,3480.806518,13814.08862,1915.375226,1912.674548
0.767559655,3480.806518,13814.08862,1915.375226,1912.674548
0.767559655,3480.806518,13814.08862,1915.375226,1912.674548
0.767559655,3480.806518,13814.08862,1915.375226,1912.674548
0.767559655,3480.806518,13814.08862,1915.375226,1912.674548
0.767559655,3480.806518,13814.08862,1915.375226,1912.674548
-0.744388048,3480.655132,13814.55434,1912.828286,1915.815087
-0.664350496,3480.436106,13815.38692,1913.145477,1916.595863
-0.664350496,3480.436106,13815.38692,1913.145477,1916.595863
-0.664350496,3480.436106,13815.38692,1913.145477,1916.595863
-0.664350496,3480.436106,13815.38692,1913.145477,1916.595863
-0.664350496,3480.436106,13815.38692,1913.145477,1916.595863
-0.664350496,3480.436106,13815.38692,1913.145477,1916.595863
-0.664350496,3480.436106,13815.38692,1913.145477,1916.595863
-0.358460783,3481.200712,13817.99845,1914.924475,1918.376555
-0.33736897,3481.510267,13817.56018,1914.888299,1917.832552
-0.33736897,3481.510267,13817.56018,1914.888299,1917.832552
-0.33736897,3481.510267,13817.56018,1914.888299,1917.832552
-0.33736897,3481.510267,13817.56018,1914.888299,1917.832552
-0.33736897,3481.510267,13817.56018,1914.888299,1917.832552
-0.33736897,3481.510267,13817.56018,1914.888299,1917.832552
-0.33736897,3481.510267,13817.56018,1914.888299,1917.832552
0.230513233,3482.049131,13811.03323,1913.118195,1910.757298
0,3482.804201,13805.99802,1911.331886,1905.760867
0,3482.804201,13805.99802,1911.331886,1905.760867
0,3482.804201,13805.99802,1911.331886,1905.760867
0,3482.804201,13805.99802,1911.331886,1905.760867
0,3482.804201,13805.99802,1911.331886,1905.760867
0,3482.804201,13805.99802,1911.331886,1905.760867
0,3482.804201,13805.99802,1911.331886,1905.760867
0.262840014,3481.981154,13811.34351,1913.279705,1911.082191
-0.380261746,3481.313649,13817.31537,1914.795956,1917.729556
-0.380261746,3481.313649,13817.31537,1914.795956,1917.729556
-0.380261746,3481.313649,13817.31537,1914.795956,1917.729556
-0.380261746,3481.313649,13817.31537,1914.795956,1917.729556
-0.380261746,3481.313649,13817.31537,1914.795956,1917.729556
-0.380261746,3481.313649,13817.31537,1914.795956,1917.729556
-0.380261746,3481.313649,13817.31537,1914.795956,1917.729556
-0.430830859,3481.28151,13816.69328,1914.515731,1917.15969
-0.668368963,3481.224146,13814.83859,1913.53436,1915.614977
-0.668368963,3481.224146,13814.83859,1913.53436,1915.614977
-0.668368963,3481.224146,13814.83859,1913.53436,1915.614977
-0.668368963,3481.224146,13814.83859,1913.53436,1915.614977
-0.668368963,3481.224146,13814.83859,1913.53436,1915.614977
-0.668368963,3481.224146,13814.83859,1913.53436,1915.614977
-0.668368963,3481.224146,13814.83859,1913.53436,1915.614977
-0.717650776,3481.15506,13814.49938,1913.2873,1915.38519
-0.642173608,3481.081773,13814.97255,1913.536651,1915.767547
-0.642173608,3481.081773,13814.97255,1913.536651,1915.767547
-0.642173608,3481.081773,13814.97255,1913.536651,1915.767547
-0.642173608,3481.081773,13814.97255,1913.536651,1915.767547
-0.642173608,3481.081773,13814.97255,1913.536651,1915.767547
-0.642173608,3481.081773,13814.97255,1913.536651,1915.767547
-0.642173608,3481.081773,13814.97255,1913.536651,1915.767547
0.340422676,3480.789682,13809.36015,1912.813698,1908.825804
0.208969833,3480.784527,13805.65889,1911.355548,1905.251013
0.208969833,3480.784527,13805.65889,1911.355548,1905.251013
0.208969833,3480.784527,13805.65889,1911.355548,1905.251013
0.208969833,3480.784527,13805.65889,1911.355548,1905.251013
0.208969833,3480.784527,13805.65889,1911.355548,1905.251013
0.208969833,3480.784527,13805.65889,1911.355548,1905.251013
0.208969833,3480.784527,13805.65889,1911.355548,1905.251013
0.279029424,3480.853024,13808.32252,1912.34683,1907.903647
0.487370183,3480.812408,13811.56542,1913.795866,1910.919157
0.487370183,3480.812408,13811.56542,1913.795866,1910.919157
0.487370183,3480.812408,13811.56542,1913.795866,1910.919157
0.487370183,3480.812408,13811.56542,1913.795866,1910.919157
0.487370183,3480.812408,13811.56542,1913.795866,1910.919157
0.487370183,3480.812408,13811.56542,1913.795866,1910.919157
0.487370183,3480.812408,13811.56542,1913.795866,1910.919157
0.568365017,3480.989169,13812.52889,1914.189603,1911.841274
-0.784150644,3481.317639,13814.08586,1913.252823,1914.92815
-0.784150644,3481.317639,13814.08586,1913.252823,1914.92815
-0.784150644,3481.317639,13814.08586,1913.252823,1914.92815
-0.784150644,3481.317639,13814.08586,1913.252823,1914.92815
-0.784150644,3481.317639,13814.08586,1913.252823,1914.92815
-0.784150644,3481.317639,13814.08586,1913.252823,1914.92815
-0.784150644,3481.317639,13814.08586,1913.252823,1914.92815
0,3482.545801,13818.72216,1915.735052,1918.796109
0,3482.548058,13819.01637,1915.850578,1919.086464
0,3482.548058,13819.01637,1915.850578,1919.086464
0,3482.548058,13819.01637,1915.850578,1919.086464
0,3482.548058,13819.01637,1915.850578,1919.086464
0,3482.548058,13819.01637,1915.850578,1919.086464
0,3482.548058,13819.01637,1915.850578,1919.086464
0,3482.548058,13819.01637,1915.850578,1919.086464
0,3482.558636,13820.0792,1916.223409,1920.185272
0,3482.571524,13820.93474,1916.533169,1921.0715
0,3482.571524,13820.93474,1916.533169,1921.0715
0,3482.571524,13820.93474,1916.533169,1921.0715
0,3482.571524,13820.93474,1916.533169,1921.0715
0,3482.571524,13820.93474,1916.533169,1921.0715
0,3482.571524,13820.93474,1916.533169,1921.0715
0,3482.571524,13820.93474,1916.533169,1921.0715
0,3482.563102,13818.84753,1915.813222,1918.959903
0,3482.557966,13816.61645,1915.055671,1916.699453
0,3482.557966,13816.61645,1915.055671,1916.699453
0,3482.557966,13816.61645,1915.055671,1916.699453
0,3482.557966,13816.61645,1915.055671,1916.699453
0,3482.557966,13816.61645,1915.055671,1916.699453
0,3482.557966,13816.61645,1915.055671,1916.699453
0,3482.557966,13816.61645,1915.055671,1916.699453
0,3482.635963,13819.99566,1916.156025,1920.144513
-0.109954699,3481.80218,13821.31627,1916.508086,1921.550898
-0.109954699,3481.80218,13821.31627,1916.508086,1921.550898
-0.109954699,3481.80218,13821.31627,1916.508086,1921.550898
-0.109954699,3481.80218,13821.31627,1916.508086,1921.550898
-0.109954699,3481.80218,13821.31627,1916.508086,1921.550898
-0.109954699,3481.80218,13821.31627,1916.508086,1921.550898
-0.109954699,3481.80218,13821.31627,1916.508086,1921.550898
-0.131485137,3481.826223,13819.83939,1915.963657,1920.0575
-0.179745326,3481.80024,13818.27213,1915.370798,1918.491499
-0.179745326,3481.80024,13818.27213,1915.370798,1918.491499
-0.179745326,3481.80024,13818.27213,1915.370798,1918.491499
-0.179745326,3481.80024,13818.27213,1915.370798,1918.491499
-0.179745326,3481.80024,13818.27213,1915.370798,1918.491499
-0.179745326,3481.80024,13818.27213,1915.370798,1918.491499
-0.179745326,3481.80024,13818.27213,1915.370798,1918.491499
-0.156636263,3481.831199,13818.78878,1915.579028,1919.021293
-0.138070669,3481.861127,13819.29191,1915.780133,1919.540768
-0.138070669,3481.861127,13819.29191,1915.780133,1919.540768
